Road Type,Speed Limit,Lanes,Coordinates
motorway_link,Unknown,1,"[30372583, 1747134008, 1747133965, 1172103532, 30373973, 1747133986, 1172103763, 1747133990, 1172103765, 1747133973, 30373974, 1747133999, 30373975]"
motorway_link,Unknown,2,"[53060679, 9198751556, 667743005, 231140472, 9198751558, 9198751610, 9198751550, 9269142409, 9269142407, 9269159817, 667743012, 9269142408, 9269142403, 9269142401, 667743031, 9269142414, 30374264, 9269142404, 667743035, 9269142412, 9269142416, 9269142402, 30374265]"
motorway_link,Unknown,Unknown,"[53060708, 1172087459, 30374270, 30374271]"
residential,Unknown,Unknown,"[33242031, 65292114]"
service,Unknown,Unknown,"[414546108, 5316393690, 52979813]"
primary_link,45 mph,1,"[52986575, 4625137194, 311935648, 230682157, 7329947893, 230682159, 230682161, 230682163, 230682164, 230682166, 230682168, 228555555]"
unclassified,Unknown,2,"[1234559800, 1234559754]"
residential,Unknown,Unknown,"[52997675, 4941951858, 4941951856, 52997677]"
motorway_link,Unknown,2,"[52999218, 231145969, 9269079585, 231145970, 9269079575, 9269151727, 9269079566, 9269133915, 231145972, 231145973]"
residential,Unknown,Unknown,"[53006266, 4941789245, 4941789244, 4941789248, 3012086913, 9649634945, 3012086916]"
residential,Unknown,1,"[53043015, 4269519473, 53016835]"
residential,Unknown,Unknown,"[1696791813, 4941463788, 1696791801, 274409055, 4941463786, 274409057, 274409058, 274409047]"
residential,Unknown,Unknown,"[53022904, 53022906, 1235345700, 1235345699, 53022908, 1235345704, 1235345677, 53022909, 1235345667, 1235345698, 53022911]"
residential,Unknown,Unknown,"[53024364, 4386437233, 53024365, 1239362285, 53024366, 53024367]"
unclassified,Unknown,2,"[1234594495, 2119952556, 7189178748, 53025006, 2119952733, 9571840845, 1234594682, 53025007, 712658401, 712658402, 712658404, 712658532, 712658533, 53025009, 53025011, 712658406, 1234594584, 53025013]"
tertiary,25 mph,2,"[53025266, 1205027752, 5050004181, 52997677, 4422263560, 4422263559, 6974430927, 53025270, 6974430926, 4407415495, 53025271, 1234559779, 1234559776, 1234559805, 1234559777, 53025272, 1234559784, 5505193463, 1234559792, 1234559764, 5505193464, 1234559791, 53025273, 568494153, 6974430925, 5505193465, 1234559750, 11336845876, 53025275]"
residential,Unknown,Unknown,"[53081153, 53026545, 53026547, 53026549, 53026550, 53026551]"
living_street,Unknown,Unknown,"[53026581, 370895544]"
residential,20 mph,Unknown,"[53026610, 4595670870, 4930036268, 3393107763, 4595670883, 53026612, 4595671489, 3393107766, 3796462361, 4595671508, 53026614]"
residential,Unknown,Unknown,"[53027362, 4324593077, 53027364]"
residential,Unknown,Unknown,"[53027418, 10050236131, 4930036643, 4930036651, 10050236148, 10050236150, 53027416, 10050236149, 4625136782, 53027413, 4625136780, 10050241338, 10050241342, 53027410, 10050241340, 7531037710, 4625136744, 603229294]"
tertiary,Unknown,3,"[1313976999, 311937175, 4939131947, 1313977057]"
primary_link,Unknown,1,"[239470221, 712804451, 1313977355, 239470220, 311936908, 1313977323, 311936907, 1313977357, 712820111, 2169800147, 239470218]"
residential,Unknown,2,"[53029650, 1235345663, 1235345689, 1235345686, 53029651, 1235345657, 1235345679, 53029652, 53029656, 1235345694, 1235345695, 1235345673, 11082655512, 53029658]"
residential,Unknown,Unknown,"[53029814, 53029815, 53022231, 53022255, 53029820, 53029822, 53029824, 53029826]"
residential,Unknown,Unknown,"[2389032923, 4595671501, 1037998920, 6388700669, 53030369]"
residential,Unknown,Unknown,"[53030655, 5448478824, 53030656, 11836790449]"
residential,Unknown,Unknown,"[53032615, 53032617]"
residential,Unknown,Unknown,"[344583587, 3983307611, 3983307609, 7530694046, 4664813746, 53033896]"
residential,Unknown,Unknown,"[53033972, 10692640977, 53033974, 53033976]"
residential,Unknown,Unknown,"[53033977, 5448592022, 414539008, 53033978]"
unclassified,Unknown,Unknown,"[1747149507, 5448478821, 53035725, 1747149508]"
residential,Unknown,Unknown,"[53035803, 53035804]"
residential,Unknown,Unknown,"[53036390, 1059025023, 1239362333, 1239362311, 53036391]"
residential,Unknown,Unknown,"[53036897, 53036898]"
unclassified,Unknown,Unknown,"[1234559759, 6874286474, 53037275, 4941952277, 4941952299, 53037279, 53037281, 3012086873]"
residential,Unknown,Unknown,"[53039703, 1239362352, 1239362365, 53039705]"
residential,Unknown,2,"[53041196, 712651039, 712651132, 4883952903, 3701774432, 4883952899, 3701774440, 3695404615, 3701774450, 4386634496, 3104722829, 53041198]"
unclassified,Unknown,2,"[53042905, 4407400721, 53042906]"
tertiary,Unknown,3,"[53043016, 53043019, 1234578945, 53043021]"
residential,Unknown,Unknown,"[53043133, 1056929924, 53043136, 1056930198, 1056930012, 53043139]"
unclassified,Unknown,2,"[53043159, 6874286464, 6874286465, 4407426905, 7544397041, 53043160, 1234594421, 1234594433, 1234594462, 1234594686, 7544397038, 53043161, 1234594523, 1234594512, 1234594419, 1234594454, 1234594424, 1234594430, 1234594466, 1234594623, 1234594445, 7544397031, 1234594681, 1234594638, 53043162, 712657913, 712659756, 1234594640, 53043163]"
unclassified,Unknown,2,"[53043920, 4603991304, 4604294006, 9763686293, 53043163, 5459609730, 4941952076, 8793974514, 53043922, 8793974524, 53025013, 1234594486, 1234594592, 1234594651, 5459609746, 1234594449, 53043925]"
residential,Unknown,2,"[53046117, 1235345696, 1235345666, 1235345705, 53046119, 1235345703, 1235345708, 53046120, 1235345697, 1235345665, 53046122]"
residential,Unknown,Unknown,"[712663123, 299386621, 712663269, 299386622, 712663133, 299386623, 53046337, 712663227, 299386615, 712663230, 712663231, 299386624, 53046339, 53046340]"
residential,Unknown,Unknown,"[53046545, 1059024557, 1059024977, 53046547]"
residential,Unknown,Unknown,"[53046340, 53046991]"
residential,Unknown,Unknown,"[53047568, 1234578845, 1234578847, 52997675, 1234578836, 53047577, 1234578856, 4941789226, 53047581, 53047583]"
residential,Unknown,Unknown,"[53036390, 310695504, 1059024777, 1239362359, 1059024608, 53047655, 53047657]"
residential,Unknown,Unknown,"[53048243, 53048244]"
residential,15 mph,Unknown,"[53049342, 3336365704, 11087069988, 53049346, 1237941476, 1059025138, 1237941475, 53049348, 1237941459, 53049349, 1237941535, 1237941419, 1059024665]"
primary,35 mph,2,"[1313977249, 53118753, 1313977049, 4318501503, 1313977230, 3989624692]"
residential,Unknown,Unknown,"[53050467, 1059025057, 1059025123, 1059024938, 1059024820, 1059024742, 1059024641, 1059024568, 53081141]"
residential,Unknown,Unknown,"[53050592, 5448477356, 53050593]"
residential,Unknown,Unknown,"[53054731, 5448477353, 53054732]"
residential,Unknown,Unknown,"[53054976, 53054978]"
residential,Unknown,Unknown,"[53055577, 4595671537, 53055580, 5448591724, 5448591730, 5448591727, 4595671520, 53055582, 4595671518, 4595671511, 53026614]"
residential,Unknown,Unknown,"[53036390, 1239362269, 568494017, 1239362322, 1239362372, 53056417, 53056419]"
residential,Unknown,Unknown,"[53056851, 53056852]"
residential,Unknown,Unknown,"[53057308, 53057309]"
residential,Unknown,Unknown,"[53059682, 9610485190, 9610485191, 310980117, 9610485192, 53059684, 9610485194, 53059686, 11565845255, 9610485195, 53059688, 53059690, 9610485197, 53059692, 53038038, 310980120, 4908351207, 1472624309, 53059694, 53059696, 53059698, 53059700, 53059702, 53059704, 53059705, 1313977061, 1313977116]"
residential,Unknown,Unknown,"[53059850, 53059852, 5448478826, 5448478860, 5448478831, 11836790451, 11836790453, 53059855, 11836790455, 11836790452, 2405775314, 11836790458, 53059856, 11836790459, 53059859]"
residential,Unknown,Unknown,"[5448982801, 5448982802, 53060293]"
residential,Unknown,Unknown,"[53025272, 1234559824, 1234559827, 1234559788, 5505193459, 3012086916, 9649634943, 3012086908, 9649634952, 53061097, 6372884780, 3012086877, 3012086874, 6372883226, 53037281]"
residential,Unknown,Unknown,"[53061483, 1237941383, 1237941421, 1237941473, 53061484, 1237941479, 53061494, 3336365717, 3336365706, 53061496, 1059024652, 1237941492, 53061498, 1059024884, 1237941381, 1237941521, 1237941516, 1237941461, 1237941498, 1059025074, 1237941495, 53061509, 1237941445, 53061511, 53061514, 1059024840, 1237941532, 3336365778, 53045452, 1237941398, 3336362954, 53061516, 53061523]"
residential,Unknown,Unknown,"[267421301, 4664813740, 8164603053, 344583544]"
residential,Unknown,Unknown,"[53065841, 1059025065, 1239362340, 1239362302, 53065842, 310695766]"
residential,Unknown,Unknown,"[53069231, 53069233]"
residential,Unknown,Unknown,"[53069728, 53050592, 53054731, 5448477418, 53059850, 5448477415, 53030655, 1747149507]"
residential,Unknown,Unknown,"[53069758, 4068651289, 2351813956, 261334576, 53022224, 712652356, 53069759, 53069761, 53069763, 712652117, 53069765, 712651788, 53069766, 53069768, 53069770, 53060296, 4941950759, 8778129940, 3104749870, 53069771]"
residential,Unknown,Unknown,"[53035803, 53070050]"
residential,Unknown,Unknown,"[53046337, 53070501]"
residential,Unknown,Unknown,"[53073222, 1234578883, 1234578932, 53073225, 53073230]"
residential,Unknown,Unknown,"[53073234, 9649634955, 1234578878, 5448982850, 310695389, 1234578841, 1234559758, 1234559813, 53006266]"
residential,Unknown,Unknown,"[53074912, 1239362367, 1239362293, 53074914]"
residential,Unknown,Unknown,"[53069768, 53075894]"
pedestrian,Unknown,Unknown,"[430555183, 53077100]"
residential,Unknown,Unknown,"[53077725, 595911948, 4930036652, 53077727]"
tertiary,Unknown,4,"[2066727904, 8889472326, 53043139, 53077759, 10750140922, 53077760, 53077761, 53077762, 53077763, 53077764, 53077765, 5050004189]"
residential,Unknown,2,"[53078361, 1235346574, 1235346577, 1235346563, 259846388, 1235346576, 1235346573, 1235346566, 259846386, 1235346571, 1235346559, 259846387, 1235346561, 1235346568, 1235345676, 11082655511, 53078362]"
service,Unknown,Unknown,"[53029107, 4158181344, 712818501, 712818502, 712818503, 239473453, 239473454, 239473456]"
residential,Unknown,Unknown,"[53065841, 1059025113, 1239362266, 1059024877, 310695980, 53081138, 53081139, 4386437279, 53081140, 53081141, 1239362328, 4386437636, 1239362272, 53081142, 1239362299, 1059024650, 53081143]"
residential,Unknown,Unknown,"[53081147, 1239362279, 1239362314, 1239362316, 53050467, 1059024705, 1239362368, 53081149, 53081151, 1239362260, 1059024869, 1239362287, 1239362323, 310695912, 53081152, 53081153, 1239362337, 53081155, 1239362320, 53024364, 1059024919, 53065841]"
service,Unknown,Unknown,"[5454170666, 6822745575, 6822745563]"
